qid,docno,score
7208,530410,0.9833776116371155
7208,263312,0.9545938491821289
7208,194090,0.9361806869506836
7208,239769,0.8851112723350525
7208,160555,0.8447408199310302
7208,178497,0.8399182915687561
7208,179359,0.7921544909477234
7208,77488,0.7777300357818603
7208,209974,0.7581475496292114
7208,220147,0.7578085780143737
7208,150219,0.7449166059494018
7208,452987,0.6287489354610443
7208,104188,0.6157599449157715
7208,370388,0.6066870093345642
7208,52185,0.5771224796772003
7208,231202,0.5542423665523528
7208,378946,0.5172055661678314
7208,384213,0.4748224675655365
7208,177648,0.41648483872413633
7208,9748,0.1624592304229736
1753,314056,0.9669153213500976
1753,217727,0.9629909634590148
1753,444568,0.9336657881736755
1753,72529,0.7977726340293884
1753,139891,0.7641984581947326
1753,599524,0.7037554025650024
1753,465820,0.683100664615631
1753,445378,0.6699573755264282
1753,53993,0.6019877910614013
1753,458376,0.5749212741851806
1753,451898,0.5366529226303101
1753,400845,0.4972695887088775
1753,598177,0.4879953742027282
1753,513620,0.4476228654384613
1753,584241,0.4203675091266632
1753,165998,0.33575771749019623
1753,302792,0.3063638180494308
1753,177231,0.3045495957136154
1753,579919,0.27857494652271264
1753,145334,0.16044017076492306
6068,582191,0.9306694388389587
6068,139595,0.9224089264869689
6068,321629,0.8684865236282349
6068,167103,0.8603217244148255
6068,278073,0.7657970309257507
6068,395690,0.6952882289886474
6068,369879,0.6921493887901305
6068,8276,0.6794518113136291
6068,348090,0.5929383575916289
6068,433256,0.5850507915019989
6068,54319,0.5422999501228333
6068,117845,0.44745813012123103
6068,406239,0.4454139173030853
6068,472882,0.4400786817073822
6068,332152,0.39477484226226806
6068,593191,0.2926437348127365
6068,494783,0.24817064255475996
6068,190266,0.2439266800880432
6068,396835,0.2276099234819412
6068,399289,0.12755725383758543
1952,355597,0.9622263669967651
1952,592578,0.9427599668502807
1952,519297,0.9267657041549682
1952,414596,0.8747649669647216
1952,383569,0.868717336654663
1952,429860,0.8369190931320191
1952,72860,0.8292169094085693
1952,355821,0.8000031113624573
1952,44482,0.7455544114112853
1952,559912,0.7162418365478516
1952,506824,0.7140317678451538
1952,25507,0.580785834789276
1952,58335,0.5732781708240509
1952,532100,0.5584307849407196
1952,404418,0.54499973654747
1952,432444,0.49414020180702206
1952,147465,0.48195890784263606
1952,555879,0.4187902450561523
1952,65274,0.3111472815275192
1952,313278,0.1448024749755859
8032,144114,0.9630412101745605
8032,325113,0.9030118107795715
8032,501245,0.7540446996688842
8032,392752,0.7450960159301757
8032,181515,0.7308149218559264
8032,34275,0.6859404921531677
8032,147730,0.6642787456512451
8032,108672,0.5939266264438628
8032,8974,0.5869686305522919
8032,492589,0.522759199142456
8032,562399,0.5009005963802338
8032,33463,0.4825247287750244
8032,169007,0.4357049345970153
8032,471259,0.41106197237968445
8032,449117,0.40378132462501526
8032,404587,0.3805310487747192
8032,389094,0.34802014827728267
8032,239313,0.21017490103840825
8032,457637,0.17932552099227902
8032,11659,0.1793093681335449
5465,364138,0.9867554664611816
5465,507813,0.9824760675430297
5465,375821,0.9159089922904968
5465,329137,0.8624710321426391
5465,442544,0.8621708989143371
5465,424125,0.8606675028800964
5465,305509,0.7909797549247741
5465,249017,0.7869297981262207
5465,295355,0.6975106000900269
5465,594964,0.6681933224201202
5465,495482,0.6499079525470733
5465,453263,0.6300999701023101
5465,437574,0.6262211143970489
5465,403749,0.6129329025745391
5465,444931,0.5939948141574859
5465,465176,0.5839145123958587
5465,325296,0.5316233456134796
5465,301797,0.5126572728157043
5465,427522,0.275861918926239
5465,580147,0.15153852701187132
10677,309555,0.9710376024246216
10677,464204,0.875408399105072
10677,481601,0.872541081905365
10677,304330,0.8686228513717651
10677,106024,0.8566331267356873
10677,475412,0.8387229323387145
10677,225666,0.8335145235061645
10677,559371,0.8083759546279907
10677,91717,0.8012779355049133
10677,101764,0.7940989136695862
10677,97010,0.7788322687149047
10677,365907,0.7729493618011474
10677,86621,0.7655654788017272
10677,199789,0.7487892389297485
10677,120312,0.7486740827560424
10677,294507,0.7376302957534789
10677,530576,0.7153053283691406
10677,439502,0.6934151768684387
10677,45069,0.636706417798996
10677,306800,0.1467197775840759
838,305894,0.9999991655349731
838,214032,0.9649033546447754
838,64391,0.9433131456375121
838,312361,0.9291077375411987
838,461193,0.9115751862525939
838,45729,0.8806201457977294
838,44258,0.8387571215629577
838,365721,0.805371081829071
838,444046,0.7846960067749023
838,583912,0.7774129033088684
838,552833,0.7758452296257019
838,348225,0.7728208541870116
838,437901,0.7563463926315307
838,278217,0.7113431572914123
838,240519,0.6665401816368103
838,301698,0.5700301647186279
838,579235,0.5437331855297088
838,399198,0.5289676487445831
838,309160,0.5224746525287628
838,498454,0.14035806655883787
7979,547370,0.9999994874000548
7979,426324,0.7351599335670471
7979,340298,0.7224433898925781
7979,162884,0.7154913067817688
7979,519663,0.6794875621795654
7979,486299,0.6276447534561157
7979,224695,0.626323366165161
7979,45853,0.6045807361602783
7979,55002,0.5793289184570312
7979,591230,0.5657235145568847
7979,324779,0.5343558728694915
7979,593521,0.531645780801773
7979,148019,0.49572868347167964
7979,421835,0.49064514040946955
