qid,docno,score
7208,194090,0.9700605255698981
7208,263312,0.9251066880459162
7208,160555,0.8725812346772253
7208,130303,0.8318666821127138
7208,238121,0.7506599551794491
7208,272117,0.6467483716942457
7208,205224,0.5846658772263751
7208,220147,0.5836852585171671
7208,481339,0.580770561869675
7208,12899,0.5713557803593847
7208,133644,0.5495929582360461
7208,76556,0.529125884400413
7208,569224,0.525213277451881
7208,31037,0.520981762182417
7208,365092,0.5187228873641412
7208,306688,0.5138999466170877
7208,179359,0.5129887341133046
7208,52185,0.3644930855698233
7208,282565,0.23729685157122637
7208,556144,0.2260465724122477
1753,377563,0.8621671863509301
1753,165998,0.7058378780192596
1753,141458,0.6789021274348557
1753,314056,0.6708986522736624
1753,290391,0.6104790176530588
1753,458376,0.6101112856002682
1753,53993,0.609453690648329
1753,72529,0.5935751337713249
1753,36659,0.5397302636246675
1753,178586,0.538033337873959
1753,445378,0.5277458069444695
1753,451898,0.5063931015125277
1753,482386,0.4685872410725514
1753,272585,0.4393078585611329
1753,513620,0.4345139831513299
1753,117391,0.3954095150868595
1753,163387,0.3783383460732572
1753,229838,0.29616583192175866
1753,380107,0.2780816512552599
1753,487015,0.26367696673400126
6068,9845,0.8987982279562294
6068,136627,0.8788123724098096
6068,366307,0.8307348332220832
6068,509837,0.8278690313625177
6068,443002,0.827103452392092
6068,130118,0.783768329159769
6068,483695,0.7810442860946618
6068,419160,0.7719775075592687
6068,564796,0.7667665946641391
6068,12488,0.7627708144543338
6068,586035,0.7600690473727276
6068,406239,0.7169003579879649
6068,457249,0.715705878706919
6068,472882,0.7107028452819426
6068,41417,0.6772683125833759
6068,190266,0.6733924061555259
6068,302453,0.665762991517669
6068,110114,0.6376139125359026
6068,419550,0.5923926521669833
6068,375706,0.485073989009327
1952,519297,0.9833751015166435
1952,295435,0.9433913335092011
1952,183699,0.7860644430779233
1952,506824,0.7533141509503292
1952,355597,0.7109914577331391
1952,25507,0.6377228550304288
1952,580761,0.6353755039993543
1952,114857,0.6191018090980014
1952,469473,0.617347767236646
1952,77361,0.5977380043136482
1952,533780,0.5844775842588664
1952,58335,0.5837280492900705
1952,404418,0.5526188370272517
1952,475479,0.5164721676810986
1952,555879,0.5108961319052879
1952,432444,0.4974272672094507
1952,239612,0.4955885330689465
1952,460839,0.46902960300566254
1952,65274,0.4024560367672923
1952,288185,0.25944826295447476
8032,144114,0.9999999213389251
8032,243523,0.8082960313785738
8032,181961,0.8020887783935484
8032,325113,0.7669188373168221
8032,284734,0.7052851001351745
8032,275319,0.634982426518836
8032,181515,0.62830012574272
8032,569023,0.6224547120232753
8032,108672,0.6135666497632686
8032,34432,0.5963295770066669
8032,492589,0.5851882114712275
8032,176110,0.5488598660233013
8032,562399,0.5474642306553112
8032,239313,0.5463382293025838
8032,349901,0.4931359809334795
8032,40183,0.4219504652329503
8032,449696,0.41502786108333856
8032,41732,0.39536227623779263
8032,472706,0.3416236099631501
8032,196297,0.3314461667494756
5465,507813,0.9256507343969884
5465,249017,0.8978173790481739
5465,375821,0.7885224502176491
5465,178717,0.756029998407691
5465,525386,0.7477193447254082
5465,141189,0.7117612154418522
5465,329137,0.6326690393103624
5465,34722,0.6269813628900138
5465,442544,0.5920375441764659
5465,305509,0.5286453265064075
5465,413324,0.5034440321903023
5465,295355,0.4315753369611732
5465,437574,0.42233541516713663
5465,273759,0.38755386076323667
5465,110046,0.3873108493436245
5465,594595,0.3566532809146874
5465,301797,0.34573193211273184
5465,325296,0.3279574031416037
5465,138419,0.32156707598445605
5465,400945,0.3170380966748003
10677,309555,0.9999999253532209
10677,481601,0.6280748500680794
10677,97010,0.4935588065822397
10677,475412,0.44239183673188087
10677,103176,0.4238434497029643
10677,106024,0.40999468787068916
10677,225666,0.4082409265235426
10677,365907,0.40206061909600366
10677,417509,0.3987931272963131
10677,357008,0.39141402967765065
10677,295115,0.3538925419457192
10677,322838,0.3407915526937054
10677,590840,0.3326923778714461
10677,530576,0.33047286595079906
10677,162467,0.31906079406540044
10677,404429,0.3077880177291459
10677,392357,0.25348015829877546
10677,226600,0.24451209685028005
10677,256035,0.19280852419418265
10677,21288,0.18420326918152655
838,173346,0.8625312875039955
838,432619,0.8596119564848235
838,309672,0.8463911068608087
838,214032,0.836998922295557
838,348225,0.8346471218660652
838,312361,0.8225284910440149
838,64391,0.8094929751500568
838,45729,0.7731547185869632
838,240519,0.7648458625558903
838,437901,0.7491535593308918
838,477063,0.7193117425500837
838,379892,0.7150707277554531
838,461242,0.7143605496172001
838,409797,0.7008639137829764
838,282726,0.6980368481062733
838,527776,0.6962708141905475
838,563380,0.6853056209784747
838,141170,0.6777260575196153
838,482488,0.5130442782382525
838,574608,0.3872997539442708
7979,547370,0.9999999094825023
7979,297231,0.5557952725852413
7979,561481,0.4881043157935464
7979,80031,0.48451710837909245
7979,508152,0.44084854822252584
7979,180644,0.42266282037211006
7979,148019,0.42186315645544004
7979,421835,0.40753101586900564
7979,432283,0.4053601411285374
7979,295785,0.40406845944471026
7979,248217,0.38521369466506256
7979,387515,0.37471655580173757
7979,484535,0.37387894912715647
7979,173479,0.337221573427133
7979,62925,0.3280189114069748
7979,217205,0.24793415952174952
7979,229069,0.229462803856012
7979,538470,0.20004101921735598
7979,307186,0.13898721400646105
7979,568526,0.10755746942934503
7526,462984,0.9553744823795294
7526,328477,0.9436719435934305
7526,266194,0.9386581589669918
7526,408103,0.8862019413439554
7526,376485,0.8803184345034518
7526,133487,0.8461382623741132
7526,275334,0.8032391632050015
7526,497344,0.779521218773191
7526,183883,0.7768990640398729
7526,307465,0.772084690378539
7526,138383,0.7569407974621158
7526,88823,0.7223827243169694
7526,397445,0.6955662745707277
7526,65587,0.6777535955092997
7526,220486,0.6238861667139646
7526,135405,0.6190923681184829
7526,35995,0.6188232855452426
7526,590276,0.6027514380348006
7526,27930,0.5973045112817602
7526,500486,0.4718913430415024
6786,393164,0.9485953234815291
6786,386278,0.8256187113748426
6786,546313,0.7845503513835823
6786,313899,0.7370833764221639
6786,77631,0.6911989579093595
6786,243115,0.6006515887042967
6786,252853,0.5746640765294341
6786,408695,0.5292917561859931
6786,457294,0.521135882604669
6786,499154,0.5085907535833472
6786,465820,0.48456171979295404
6786,138178,0.4803220837503301
6786,120271,0.4663303799946953
6786,347348,0.45324156032485663
6786,99472,0.4403419935776407
6786,148435,0.4215889573051388
6786,209863,0.4084746422993468
6786,133413,0.40636615055328806
6786,459392,0.4054624748492538
6786,135873,0.2312923417346766
4520,377488,0.7933567807780624
4520,513485,0.6984793124667406
4520,357103,0.6242450924565374
4520,501461,0.6177303039903295
4520,285064,0.6090670256192341
4520,509535,0.5850722733603435
4520,70799,0.5667406025429116
4520,144077,0.4538087427405665
4520,34844,0.4407206654732193
4520,235522,0.4317348959536143
4520,531551,0.42395213688665423
4520,278626,0.41897937862065326
4520,546953,0.41693143136756683
4520,17412,0.3878307679691027
4520,329819,0.3706523934674113
4520,521233,0.3204508595891083
4520,27073,0.31063891654248244
4520,21055,0.2938685837681192
4520,28375,0.28559973992687554
4520,321807,0.22489812725261496
2096,351123,0.9983392414149649
2096,437061,0.9200617739460403
2096,308768,0.8591905454267392
2096,14493,0.8570417769653678
2096,185983,0.8096487875664138
2096,228083,0.793174886405277
2096,385121,0.7438414223651186
2096,20810,0.6904358196509742
2096,355415,0.5853596784104551
