qid,docno,score
7208,194090,0.9815437223958734
7208,160555,0.8809330097219547
7208,263312,0.854736222099539
7208,238121,0.8020703363892187
7208,130303,0.7798538004067211
7208,569224,0.6328415777785091
7208,12899,0.5568163615415855
7208,272117,0.5481975007703024
7208,205224,0.5342558975562552
7208,220147,0.5250861124720854
7208,179359,0.5072942215431118
7208,365092,0.45833179755623094
7208,306688,0.43316925817993085
7208,52185,0.4086113553930448
7208,76556,0.40714962562137913
7208,133644,0.3879521134420336
7208,481339,0.38655915785264194
7208,282565,0.38082212238950763
7208,583491,0.37025771777700084
7208,3656,0.3645057819457084
1753,165998,0.9857587846526124
1753,377563,0.9019671719091581
1753,458376,0.6612831113778265
1753,53993,0.655641309221919
1753,482386,0.6555543280298127
1753,36659,0.6344262879743566
1753,290391,0.6226869696484549
1753,178586,0.6167525519698773
1753,141458,0.5869105813768785
1753,451898,0.550817783275096
1753,163387,0.5330172898891599
1753,314056,0.5281136465711693
1753,272585,0.5183267113429368
1753,72529,0.513851129532688
1753,513620,0.5050858418425102
1753,229838,0.5006837901648713
1753,445378,0.491877353882922
1753,487015,0.4726442560649835
1753,584241,0.45320017427193887
1753,598177,0.44398230304475556
6068,9845,0.8607770610522351
6068,136627,0.8377791217280878
6068,419550,0.8091271108165065
6068,443002,0.7581266159914213
6068,12488,0.7160803025044029
6068,366307,0.6844392929030153
6068,190266,0.6838224660023838
6068,130118,0.6723632630525068
6068,509837,0.6651194589439816
6068,419160,0.6540903139284041
6068,483695,0.6527211248577386
6068,406239,0.6457630122853448
6068,110114,0.6436284972405389
6068,582191,0.6390553954063893
6068,472882,0.6374814205058202
6068,457249,0.6356224562355502
6068,375706,0.6325007524761442
6068,41417,0.6231272956861509
6068,564796,0.6052017335307368
6068,8276,0.604302534966839
1952,519297,0.9058776586982931
1952,295435,0.8360930633892143
1952,506824,0.7049054434975209
1952,183699,0.6740543493281226
1952,25507,0.6421141122366739
1952,355597,0.6366440711850918
1952,58335,0.595879118100656
1952,404418,0.5857631291528542
1952,580761,0.5789013586804097
1952,432444,0.5662617151945966
1952,555879,0.55608890770193
1952,65274,0.4861952575523698
1952,239612,0.46808383297291273
1952,592578,0.4628574927217101
1952,114857,0.4564610319120038
1952,533780,0.45109297572228924
1952,44482,0.4308307869599674
1952,277791,0.4229034204634664
1952,288185,0.4127902551223454
1952,475479,0.4100658538082449
8032,144114,0.9630412503310964
8032,243523,0.8046364573940523
8032,181961,0.7243003049520408
8032,325113,0.6867650886879909
8032,40183,0.6821480470111925
8032,349901,0.6590982323481932
8032,275319,0.6203611280251059
8032,284734,0.6124534605184756
8032,34432,0.6091330693665731
8032,492589,0.6037267267311781
8032,239313,0.6014844264242631
8032,108672,0.5846783340751891
8032,569023,0.5781284792289961
8032,181515,0.5416770366758326
8032,176110,0.5220040898326227
8032,562399,0.5044541676821692
8032,392752,0.46209386902001
8032,33463,0.45781971638226443
8032,501245,0.42675659163769913
8032,41732,0.4118139608804874
5465,249017,0.9403458463625184
5465,507813,0.8921212553212567
5465,525386,0.7039881361593117
5465,375821,0.6987563346346813
5465,273759,0.6306008390513059
5465,178717,0.6150042234472822
5465,329137,0.533729151210979
5465,141189,0.5072940112662705
5465,437574,0.5005597162015222
5465,138419,0.4685001332386043
5465,442544,0.46560012370412446
5465,301797,0.45028798704565676
5465,413324,0.44331023519974194
5465,305509,0.4319333050798197
5465,325296,0.40241486857777947
5465,295355,0.39590713568293145
5465,34722,0.3812650916520871
5465,110046,0.36331424840938614
5465,453263,0.3498466596408443
5465,200297,0.34664787741755015
10677,309555,0.9710376310455692
10677,481601,0.568454949955923
10677,97010,0.4418107783184415
10677,103176,0.4350465769252592
10677,417509,0.4074047181777749
10677,106024,0.37662916876944963
10677,322838,0.37383961353839856
10677,530576,0.36687164737348565
10677,225666,0.3592048797468824
10677,226600,0.3469026596125021
10677,357008,0.3432599084641421
10677,439502,0.34180358417342244
10677,256035,0.3298562274016562
10677,365907,0.32835221105157364
10677,162467,0.32048726452722087
10677,475412,0.31872713279624776
10677,464204,0.2926650008495574
10677,392357,0.2909272505833903
10677,559371,0.28862946959046276
10677,21288,0.2863595140945605
838,173346,0.8599264223148533
838,309672,0.8557247418886716
838,348225,0.8069190917273601
838,214032,0.7760715851084212
838,432619,0.7547627614043939
838,312361,0.7500992097774748
838,240519,0.7406627381091502
838,437901,0.7198879237622567
838,461242,0.7163869285827067
838,141170,0.6968351083167402
838,64391,0.6946419969856847
838,409797,0.687533481867502
838,45729,0.6390756763142503
838,477063,0.6048972910522736
838,399198,0.5903878535502332
838,482488,0.5774908365164011
838,574608,0.5706249081031388
838,282726,0.5652084754219164
