qid,docno,score
7208,194090,0.9738032502269568
7208,263312,0.9251067178482386
7208,160555,0.8445399911240636
7208,238121,0.7938561714050731
7208,130303,0.7870322024231157
7208,205224,0.6502698934111819
7208,272117,0.6433299261070875
7208,481339,0.5795591868715824
7208,12899,0.5494207495413992
7208,31037,0.5432604584810162
7208,365092,0.5412866279752175
7208,220147,0.5246391092633219
7208,179359,0.5101378439536977
7208,76556,0.5050218256578898
7208,133644,0.49442406132251776
7208,306688,0.4749961588849634
7208,569224,0.43102638099361273
7208,52185,0.37278789145418456
7208,282565,0.31965945124211337
7208,556144,0.2260465724122477
1753,377563,0.9026583798838739
1753,165998,0.712867985100196
1753,141458,0.6822846910258591
1753,314056,0.6708986522736624
1753,53993,0.6648803329470274
1753,458376,0.6523797406288021
1753,290391,0.6519653852363336
1753,72529,0.603895081967736
1753,445378,0.5645537016511956
1753,451898,0.5599417206636431
1753,178586,0.5581252589650387
1753,36659,0.5223818623762124
1753,513620,0.5192495852917565
1753,482386,0.5102616538595119
1753,272585,0.4956396867977128
1753,163387,0.40027847308837106
1753,117391,0.3529624472896755
1753,229838,0.30717061140960694
1753,487015,0.26367696673400126
1753,380107,0.26326321199513475
6068,9845,0.8313937491678536
6068,366307,0.7956934413725654
6068,509837,0.7936376964378198
6068,136627,0.7842616734142194
6068,586035,0.7600690175704052
6068,443002,0.7554173186497596
6068,483695,0.7459318455085717
6068,130118,0.7336518795652713
6068,12488,0.7161031343100238
6068,564796,0.6937129962602084
6068,419160,0.6826921338715246
6068,457249,0.660956881614672
6068,41417,0.6576819431881199
6068,406239,0.656959692027653
6068,472882,0.6543832807010252
6068,190266,0.6417162776488654
6068,302453,0.6048100747762979
6068,110114,0.5951048335564104
6068,419550,0.5923926521669833
6068,375706,0.4807108209783498
1952,519297,0.9833751015166435
1952,295435,0.9290201470143739
1952,183699,0.7903847367428556
1952,506824,0.7789231077641414
1952,355597,0.7174346006240693
1952,580761,0.649523798925044
1952,114857,0.6359993086593112
1952,25507,0.630124454914462
1952,469473,0.6028411887912114
1952,77361,0.5978454416858558
1952,58335,0.5886586498140192
1952,533780,0.5767463551920177
1952,404418,0.5644834097906947
1952,432444,0.52300348617212
1952,475479,0.5029464730724102
1952,239612,0.4918603817475354
1952,460839,0.48986825108648835
